Item Internal Id,Price level,Unit Price,Internal Id,external Id
11748,Discount 22.5%,1316.73,965,965
3733,Discount 25%,221.25,965,965
3734,Discount 25%,1271.25,965,965
3784,Discount 15%,46.33,965,965
3785,Discount 15%,46.33,965,965
3787,Discount 22.5%,13.56,965,965
3788,Discount 22.5%,13.56,965,965
3789,Discount 22.5%,13.56,965,965
3790,Discount 22.5%,13.56,965,965
3791,Discount 22.5%,13.56,965,965
3792,Discount 22.5%,13.56,965,965
3793,Discount 22.5%,13.56,965,965
3794,Discount 22.5%,13.56,965,965
908,Discount 20%,119.2,965,965
5542,Discount 25%,62.25,965,965
5549,Discount 10%,494.1,965,965
5653,Discount 20%,30.4,965,965
133,EquaGel 1,191.15,965,965
134,EquaGel 1,191.15,965,965
135,EquaGel 1,191.15,965,965
136,EquaGel 1,191.15,965,965
137,EquaGel 1,191.15,965,965
138,EquaGel 1,191.15,965,965
139,EquaGel 1,191.15,965,965
140,EquaGel 1,191.15,965,965
141,EquaGel 1,191.15,965,965
142,EquaGel 1,191.15,965,965
143,EquaGel 1,191.15,965,965
144,EquaGel 1,191.15,965,965
149,EquaGel 1,229.25,965,965
150,EquaGel 1,229.25,965,965
151,EquaGel 1,229.25,965,965
152,EquaGel 1,229.25,965,965
153,EquaGel 1,229.25,965,965
154,EquaGel 1,229.25,965,965
155,EquaGel 1,229.25,965,965
156,EquaGel 1,229.25,965,965
159,EquaGel 1,317.46,965,965
160,EquaGel 1,317.46,965,965
161,EquaGel 1,317.46,965,965
162,EquaGel 1,317.46,965,965
163,EquaGel 1,317.46,965,965
164,EquaGel 1,317.46,965,965
165,EquaGel 1,317.46,965,965
166,EquaGel 1,317.46,965,965
168,EquaGel 1,397.46,965,965
172,EquaGel 1,44.06,965,965
24854,EquaGel 1,44.06,965,965
173,EquaGel 1,44.06,965,965
174,EquaGel 1,44.06,965,965
175,EquaGel 1,44.06,965,965
177,EquaGel 1,44.06,965,965
178,EquaGel 1,44.06,965,965
7917,EquaGel 1,44.06,965,965
179,EquaGel 1,44.06,965,965
181,EquaGel 1,44.06,965,965
182,EquaGel 1,44.06,965,965
183,EquaGel 1,44.06,965,965
184,EquaGel 1,44.06,965,965
185,EquaGel 1,44.06,965,965
186,EquaGel 1,44.06,965,965
187,EquaGel 1,44.06,965,965
188,EquaGel 1,44.06,965,965
189,EquaGel 1,44.06,965,965
36840,EquaGel 1,68.7,965,965
36841,EquaGel 1,68.7,965,965
1060,Discount 20%,214.4,965,965
1068,Discount 15%,420.75,965,965
1082,Discount 10%,1930.5,965,965
198,Discount 22.5%,92.96,965,965
199,Discount 22.5%,116.21,965,965
200,Discount 22.5%,231.73,965,965
201,Discount 22.5%,77.46,965,965
205,Discount 22.5%,168.18,965,965
206,Discount 25%,156.75,965,965
207,Discount 22.5%,189.1,965,965
209,Discount 15%,160.65,965,965
3821,Discount 10%,8995.5,965,965
40995,Discount 15%,27.88,965,965
40996,Discount 15%,153.43,965,965
4551,Discount 22.5%,41.85,965,965
4552,Discount 22.5%,38.21,965,965
4554,Discount 22.5%,55.1,965,965
4555,Discount 22.5%,39.68,965,965
4556,Discount 22.5%,19.07,965,965
4557,Discount 22.5%,23.48,965,965
4558,Discount 22.5%,26.43,965,965
4559,Discount 22.5%,30.15,965,965
4569,Discount 25%,70.88,965,965
4570,Discount 25%,70.88,965,965
4668,Discount 22.5%,18.52,965,965
33403,Discount 25%,37.46,965,965
1910,Discount 15%,28.65,965,965
1918,Discount 15%,44.12,965,965
1919,Discount 15%,50.07,965,965
1920,Discount 15%,69.36,965,965
1924,Discount 20%,67.36,965,965
1927,Discount 15%,36.55,965,965
1929,Discount 15%,42.08,965,965
1954,Discount 25%,33,965,965
1993,Discount 20%,9.52,965,965
1089,Discount 05%,451.25,965,965
1090,Discount 10%,355.5,965,965
9527,Discount 10%,355.5,965,965
7154,Discount 20%,32.32,965,965
4389,Discount 15%,5490.15,965,965
3977,Discount 20%,48,965,965
3978,Discount 20%,48,965,965
3979,Discount 20%,48,965,965
3980,Discount 20%,48,965,965
3981,Discount 20%,48,965,965
3982,Discount 20%,51.6,965,965
3983,Discount 20%,51.6,965,965
3986,Discount 15%,8.93,965,965
3987,Discount 15%,8.93,965,965
3988,Discount 15%,8.93,965,965
3989,Discount 15%,8.93,965,965
3991,Discount 20%,136.72,965,965
3992,Discount 20%,136.72,965,965
3993,Discount 20%,136.72,965,965
3994,Discount 20%,136.72,965,965
3995,Discount 20%,38,965,965
3996,Discount 20%,60.72,965,965
3997,Discount 20%,17.44,965,965
3998,Discount 20%,75.92,965,965
3999,Discount 20%,98.8,965,965
4000,Discount 20%,34.16,965,965
4001,Discount 20%,121.52,965,965
4002,Discount 20%,16.72,965,965
4003,Discount 20%,79.44,965,965
4004,Discount 20%,90.88,965,965
4005,Discount 20%,105.28,965,965
4006,Discount 20%,117.44,965,965
4007,Discount 20%,132.64,965,965
4008,Discount 20%,15.12,965,965
4009,Discount 20%,18.96,965,965
4010,Discount 20%,20.48,965,965
4011,Discount 20%,22.8,965,965
4013,Discount 22.5%,14.34,965,965
4014,Discount 22.5%,14.34,965,965
4015,Discount 22.5%,14.34,965,965
4016,Discount 22.5%,14.34,965,965
4035,Discount 25%,24.38,965,965
7179,Discount 25%,24.75,965,965
7641,Discount 25%,27,965,965
7142,Discount 25%,269.25,965,965
1244,Discount 25%,291.75,965,965
577,Discount 15%,3130.55,965,965
19349,Discount 15%,7639.8,965,965
4111,Discount 25%,42.68,965,965
4112,Discount 22.5%,55.8,965,965
4118,Discount 25%,217.5,965,965
4120,Discount 20%,239.2,965,965
4121,Discount 15%,137.63,965,965
4122,Discount 25%,42.75,965,965
4131,Discount 25%,14.93,965,965
4133,Discount 20%,55.6,965,965
6264,ZDealer,416.5,965,965
6266,Discount 15%,72.25,965,965
276,Discount 15%,254.15,965,965
4683,Discount 20%,476,965,965
4145,Discount 10%,3599.1,965,965
5881,Discount 20%,16.8,965,965
5882,Discount 20%,16.8,965,965
5884,Discount 20%,22.4,965,965
5935,Discount 15%,11.48,965,965
5971,Discount 22.5%,110.83,965,965
4165,Discount 22.5%,384.4,965,965
4167,Discount 20%,454.4,965,965
7739,Discount 25%,446.25,965,965
4229,Discount 22.5%,2669.88,965,965
4231,Discount 22.5%,3379,965,965
6010,Discount 25%,1308.75,965,965
9029,Discount 20%,1588,965,965
6021,Discount 10%,3918.6,965,965
4250,Discount 20%,21.2,965,965
4251,Discount 20%,24,965,965
4252,Discount 20%,26.88,965,965
4253,Discount 20%,30,965,965
4254,Discount 20%,31.04,965,965
4255,Discount 20%,34.8,965,965
4256,Discount 20%,37.6,965,965
4257,Discount 20%,41.04,965,965
4258,Discount 20%,45.36,965,965
4259,Discount 25%,3.53,965,965
4260,Discount 20%,5.28,965,965
4261,Discount 20%,7.6,965,965
4262,Discount 20%,10.32,965,965
4263,Discount 20%,12.72,965,965
4264,Discount 20%,15.12,965,965
4265,Discount 15%,20.83,965,965
4266,Discount 15%,25.67,965,965
37046,Discount 15%,30.43,965,965
6494,Discount 20%,76,965,965
1318,Discount 25%,343.5,965,965
1319,Discount 25%,483.75,965,965
1320,Discount 25%,746.25,965,965
1333,Discount 20%,732,965,965
1419,Discount 22.5%,383.63,965,965
1425,Discount 22.5%,437.88,965,965
1426,Discount 25%,543.75,965,965
1427,Discount 25%,821.25,965,965
1430,Discount 20%,636,965,965
3038,Discount 20%,48,965,965
3039,Discount 20%,60.36,965,965
3040,Discount 20%,78.54,965,965
3041,Discount 20%,64.73,965,965
3042,Discount 20%,70.54,965,965
3043,Discount 20%,88,965,965
4297,Discount 20%,1116,965,965
4298,Discount 25%,1196.25,965,965
4301,Discount 25%,862.5,965,965
4305,Discount 22.5%,964.88,965,965
4308,Discount 20%,1224,965,965
11748,Discount 22.5%,1316.73,966,966
3733,Discount 25%,221.25,966,966
3734,Discount 25%,1271.25,966,966
3784,Discount 15%,46.33,966,966
3785,Discount 15%,46.33,966,966
3787,Discount 22.5%,13.56,966,966
3788,Discount 22.5%,13.56,966,966
3789,Discount 22.5%,13.56,966,966
3790,Discount 22.5%,13.56,966,966
3791,Discount 22.5%,13.56,966,966
3792,Discount 22.5%,13.56,966,966
3793,Discount 22.5%,13.56,966,966
3794,Discount 22.5%,13.56,966,966
908,Discount 20%,119.2,966,966
5542,Discount 25%,62.25,966,966
5549,Discount 10%,494.1,966,966
5653,Discount 20%,30.4,966,966
133,EquaGel 1,191.15,966,966
134,EquaGel 1,191.15,966,966
135,EquaGel 1,191.15,966,966
136,EquaGel 1,191.15,966,966
137,EquaGel 1,191.15,966,966
138,EquaGel 1,191.15,966,966
139,EquaGel 1,191.15,966,966
140,EquaGel 1,191.15,966,966
141,EquaGel 1,191.15,966,966
142,EquaGel 1,191.15,966,966
143,EquaGel 1,191.15,966,966
144,EquaGel 1,191.15,966,966
149,EquaGel 1,229.25,966,966
150,EquaGel 1,229.25,966,966
151,EquaGel 1,229.25,966,966
152,EquaGel 1,229.25,966,966
153,EquaGel 1,229.25,966,966
154,EquaGel 1,229.25,966,966
155,EquaGel 1,229.25,966,966
156,EquaGel 1,229.25,966,966
159,EquaGel 1,317.46,966,966
160,EquaGel 1,317.46,966,966
161,EquaGel 1,317.46,966,966
162,EquaGel 1,317.46,966,966
163,EquaGel 1,317.46,966,966
164,EquaGel 1,317.46,966,966
165,EquaGel 1,317.46,966,966
166,EquaGel 1,317.46,966,966
168,EquaGel 1,397.46,966,966
172,EquaGel 1,44.06,966,966
24854,EquaGel 1,44.06,966,966
173,EquaGel 1,44.06,966,966
174,EquaGel 1,44.06,966,966
175,EquaGel 1,44.06,966,966
177,EquaGel 1,44.06,966,966
178,EquaGel 1,44.06,966,966
7917,EquaGel 1,44.06,966,966
179,EquaGel 1,44.06,966,966
181,EquaGel 1,44.06,966,966
182,EquaGel 1,44.06,966,966
183,EquaGel 1,44.06,966,966
184,EquaGel 1,44.06,966,966
185,EquaGel 1,44.06,966,966
186,EquaGel 1,44.06,966,966
187,EquaGel 1,44.06,966,966
188,EquaGel 1,44.06,966,966
189,EquaGel 1,44.06,966,966
36840,EquaGel 1,68.7,966,966
36841,EquaGel 1,68.7,966,966
1060,Discount 20%,214.4,966,966
1068,Discount 15%,420.75,966,966
1082,Discount 10%,1930.5,966,966
198,Discount 22.5%,92.96,966,966
199,Discount 22.5%,116.21,966,966
200,Discount 22.5%,231.73,966,966
201,Discount 22.5%,77.46,966,966
205,Discount 22.5%,168.18,966,966
206,Discount 25%,156.75,966,966
207,Discount 22.5%,189.1,966,966
209,Discount 15%,160.65,966,966
3821,Discount 10%,8995.5,966,966
40995,Discount 15%,27.88,966,966
40996,Discount 15%,153.43,966,966
4551,Discount 22.5%,41.85,966,966
4552,Discount 22.5%,38.21,966,966
4554,Discount 22.5%,55.1,966,966
4555,Discount 22.5%,39.68,966,966
4556,Discount 22.5%,19.07,966,966
4557,Discount 22.5%,23.48,966,966
4558,Discount 22.5%,26.43,966,966
4559,Discount 22.5%,30.15,966,966
4569,Discount 25%,70.88,966,966
4570,Discount 25%,70.88,966,966
4668,Discount 22.5%,18.52,966,966
33403,Discount 25%,37.46,966,966
1910,Discount 15%,28.65,966,966
1918,Discount 15%,44.12,966,966
1919,Discount 15%,50.07,966,966
1920,Discount 15%,69.36,966,966
1924,Discount 20%,67.36,966,966
1927,Discount 15%,36.55,966,966
1929,Discount 15%,42.08,966,966
1954,Discount 25%,33,966,966
1993,Discount 20%,9.52,966,966
1089,Discount 05%,451.25,966,966
1090,Discount 10%,355.5,966,966
9527,Discount 10%,355.5,966,966
7154,Discount 20%,32.32,966,966
4389,Discount 15%,5490.15,966,966
3977,Discount 20%,48,966,966
3978,Discount 20%,48,966,966
3979,Discount 20%,48,966,966
3980,Discount 20%,48,966,966
3981,Discount 20%,48,966,966
3982,Discount 20%,51.6,966,966
3983,Discount 20%,51.6,966,966
3986,Discount 15%,8.93,966,966
3987,Discount 15%,8.93,966,966
3988,Discount 15%,8.93,966,966
3989,Discount 15%,8.93,966,966
3991,Discount 20%,136.72,966,966
3992,Discount 20%,136.72,966,966
3993,Discount 20%,136.72,966,966
3994,Discount 20%,136.72,966,966
3995,Discount 20%,38,966,966
3996,Discount 20%,60.72,966,966
3997,Discount 20%,17.44,966,966
3998,Discount 20%,75.92,966,966
3999,Discount 20%,98.8,966,966
4000,Discount 20%,34.16,966,966
4001,Discount 20%,121.52,966,966
4002,Discount 20%,16.72,966,966
4003,Discount 20%,79.44,966,966
4004,Discount 20%,90.88,966,966
4005,Discount 20%,105.28,966,966
4006,Discount 20%,117.44,966,966
4007,Discount 20%,132.64,966,966
4008,Discount 20%,15.12,966,966
4009,Discount 20%,18.96,966,966
4010,Discount 20%,20.48,966,966
4011,Discount 20%,22.8,966,966
4013,Discount 22.5%,14.34,966,966
4014,Discount 22.5%,14.34,966,966
4015,Discount 22.5%,14.34,966,966
4016,Discount 22.5%,14.34,966,966
4035,Discount 25%,24.38,966,966
7179,Discount 25%,24.75,966,966
7641,Discount 25%,27,966,966
7142,Discount 25%,269.25,966,966
1244,Discount 25%,291.75,966,966
577,Discount 15%,3130.55,966,966
19349,Discount 15%,7639.8,966,966
4111,Discount 25%,42.68,966,966
4112,Discount 22.5%,55.8,966,966
4118,Discount 25%,217.5,966,966
4120,Discount 20%,239.2,966,966
4121,Discount 15%,137.63,966,966
4122,Discount 25%,42.75,966,966
4131,Discount 25%,14.93,966,966
4133,Discount 20%,55.6,966,966
6264,ZDealer,416.5,966,966
6266,Discount 15%,72.25,966,966
276,Discount 15%,254.15,966,966
4683,Discount 20%,476,966,966
4145,Discount 10%,3599.1,966,966
5881,Discount 20%,16.8,966,966
5882,Discount 20%,16.8,966,966
5884,Discount 20%,22.4,966,966
5935,Discount 15%,11.48,966,966
5971,Discount 22.5%,110.83,966,966
4165,Discount 22.5%,384.4,966,966
4167,Discount 20%,454.4,966,966
7739,Discount 25%,446.25,966,966
4229,Discount 22.5%,2669.88,966,966
4231,Discount 22.5%,3379,966,966
6010,Discount 25%,1308.75,966,966
9029,Discount 20%,1588,966,966
6021,Discount 10%,3918.6,966,966
4250,Discount 20%,21.2,966,966
4251,Discount 20%,24,966,966
4252,Discount 20%,26.88,966,966
4253,Discount 20%,30,966,966
4254,Discount 20%,31.04,966,966
4255,Discount 20%,34.8,966,966
4256,Discount 20%,37.6,966,966
4257,Discount 20%,41.04,966,966
4258,Discount 20%,45.36,966,966
4259,Discount 25%,3.53,966,966
4260,Discount 20%,5.28,966,966
4261,Discount 20%,7.6,966,966
4262,Discount 20%,10.32,966,966
4263,Discount 20%,12.72,966,966
4264,Discount 20%,15.12,966,966
4265,Discount 15%,20.83,966,966
4266,Discount 15%,25.67,966,966
37046,Discount 15%,30.43,966,966
6494,Discount 20%,76,966,966
1318,Discount 25%,343.5,966,966
1319,Discount 25%,483.75,966,966
1320,Discount 25%,746.25,966,966
1333,Discount 20%,732,966,966
1419,Discount 22.5%,383.63,966,966
1425,Discount 22.5%,437.88,966,966
1426,Discount 25%,543.75,966,966
1427,Discount 25%,821.25,966,966
1430,Discount 20%,636,966,966
3038,Discount 20%,48,966,966
3039,Discount 20%,60.36,966,966
3040,Discount 20%,78.54,966,966
3041,Discount 20%,64.73,966,966
3042,Discount 20%,70.54,966,966
3043,Discount 20%,88,966,966
4297,Discount 20%,1116,966,966
4298,Discount 25%,1196.25,966,966
4301,Discount 25%,862.5,966,966
4305,Discount 22.5%,964.88,966,966
4308,Discount 20%,1224,966,966
11748,Discount 22.5%,1316.73,967,967
3733,Discount 25%,221.25,967,967
3734,Discount 25%,1271.25,967,967
3784,Discount 15%,46.33,967,967
3785,Discount 15%,46.33,967,967
3787,Discount 22.5%,13.56,967,967
3788,Discount 22.5%,13.56,967,967
3789,Discount 22.5%,13.56,967,967
3790,Discount 22.5%,13.56,967,967
3791,Discount 22.5%,13.56,967,967
3792,Discount 22.5%,13.56,967,967
3793,Discount 22.5%,13.56,967,967
3794,Discount 22.5%,13.56,967,967
908,Discount 20%,119.2,967,967
5542,Discount 25%,62.25,967,967
5549,Discount 10%,494.1,967,967
5653,Discount 20%,30.4,967,967
133,EquaGel 1,191.15,967,967
134,EquaGel 1,191.15,967,967
135,EquaGel 1,191.15,967,967
136,EquaGel 1,191.15,967,967
137,EquaGel 1,191.15,967,967
138,EquaGel 1,191.15,967,967
139,EquaGel 1,191.15,967,967
