Item Internal Id,Price level,Unit Price,Internal Id,external Id
3734,Discount 25%,1271.25,1018,1018
133,EquaGel 1,191.15,1018,1018
134,EquaGel 1,191.15,1018,1018
135,EquaGel 1,191.15,1018,1018
136,EquaGel 1,191.15,1018,1018
137,EquaGel 1,191.15,1018,1018
138,EquaGel 1,191.15,1018,1018
139,EquaGel 1,191.15,1018,1018
140,EquaGel 1,191.15,1018,1018
141,EquaGel 1,191.15,1018,1018
142,EquaGel 1,191.15,1018,1018
143,EquaGel 1,191.15,1018,1018
144,EquaGel 1,191.15,1018,1018
149,EquaGel 1,229.25,1018,1018
150,EquaGel 1,229.25,1018,1018
151,EquaGel 1,229.25,1018,1018
152,EquaGel 1,229.25,1018,1018
153,EquaGel 1,229.25,1018,1018
154,EquaGel 1,229.25,1018,1018
155,EquaGel 1,229.25,1018,1018
156,EquaGel 1,229.25,1018,1018
157,EquaGel 1,311.63,1018,1018
159,EquaGel 1,317.46,1018,1018
160,EquaGel 1,317.46,1018,1018
161,EquaGel 1,317.46,1018,1018
162,EquaGel 1,317.46,1018,1018
163,EquaGel 1,317.46,1018,1018
164,EquaGel 1,317.46,1018,1018
165,EquaGel 1,317.46,1018,1018
166,EquaGel 1,317.46,1018,1018
167,EquaGel 1,397.46,1018,1018
168,EquaGel 1,397.46,1018,1018
170,EquaGel 1,397.46,1018,1018
172,EquaGel 1,44.06,1018,1018
173,EquaGel 1,44.06,1018,1018
174,EquaGel 1,44.06,1018,1018
175,EquaGel 1,44.06,1018,1018
176,EquaGel 1,44.06,1018,1018
177,EquaGel 1,44.06,1018,1018
178,EquaGel 1,44.06,1018,1018
7917,EquaGel 1,44.06,1018,1018
179,EquaGel 1,44.06,1018,1018
180,EquaGel 1,41.02,1018,1018
181,EquaGel 1,44.06,1018,1018
182,EquaGel 1,44.06,1018,1018
183,EquaGel 1,44.06,1018,1018
184,EquaGel 1,44.06,1018,1018
185,EquaGel 1,44.06,1018,1018
186,EquaGel 1,44.06,1018,1018
187,EquaGel 1,44.06,1018,1018
188,EquaGel 1,44.06,1018,1018
189,EquaGel 1,44.06,1018,1018
190,EquaGel 1,44.06,1018,1018
198,Discount 22.5%,92.96,1018,1018
4569,Discount 22.5%,73.24,1018,1018
4570,Discount 22.5%,73.24,1018,1018
133,EquaGel 3,219.82,3118,3118
134,EquaGel 3,219.82,3118,3118
135,EquaGel 3,219.82,3118,3118
136,EquaGel 3,219.82,3118,3118
137,EquaGel 3,219.82,3118,3118
138,EquaGel 3,219.82,3118,3118
139,EquaGel 3,219.82,3118,3118
140,EquaGel 3,219.82,3118,3118
141,EquaGel 3,219.82,3118,3118
142,EquaGel 3,219.82,3118,3118
143,EquaGel 3,219.82,3118,3118
144,EquaGel 3,219.82,3118,3118
149,EquaGel 3,263.64,3118,3118
150,EquaGel 3,263.64,3118,3118
151,EquaGel 3,263.64,3118,3118
152,EquaGel 3,263.64,3118,3118
153,EquaGel 3,263.64,3118,3118
154,EquaGel 3,263.64,3118,3118
155,EquaGel 3,263.64,3118,3118
156,EquaGel 3,263.64,3118,3118
157,EquaGel 4,349.02,3118,3118
159,EquaGel 3,350.08,3118,3118
160,EquaGel 3,350.08,3118,3118
161,EquaGel 3,350.08,3118,3118
162,EquaGel 3,350.08,3118,3118
163,EquaGel 3,350.08,3118,3118
164,EquaGel 3,350.08,3118,3118
165,EquaGel 3,350.08,3118,3118
166,EquaGel 3,350.08,3118,3118
167,EquaGel 3,397.46,3118,3118
168,EquaGel 3,429.56,3118,3118
170,EquaGel 3,397.46,3118,3118
172,EquaGel 3,56.83,3118,3118
173,EquaGel 3,56.83,3118,3118
174,EquaGel 3,56.83,3118,3118
175,EquaGel 3,56.83,3118,3118
176,EquaGel 3,56.83,3118,3118
177,EquaGel 3,56.83,3118,3118
178,EquaGel 3,56.83,3118,3118
7917,EquaGel 3,56.83,3118,3118
179,EquaGel 3,56.83,3118,3118
180,EquaGel 4,52.84,3118,3118
181,EquaGel 3,56.83,3118,3118
182,EquaGel 3,56.83,3118,3118
183,EquaGel 3,56.83,3118,3118
184,EquaGel 3,56.83,3118,3118
185,EquaGel 3,56.83,3118,3118
186,EquaGel 3,56.83,3118,3118
187,EquaGel 3,56.83,3118,3118
188,EquaGel 3,56.83,3118,3118
189,EquaGel 3,56.83,3118,3118
190,EquaGel 3,56.83,3118,3118
133,EquaGel 1,191.15,1020,1020
134,EquaGel 1,191.15,1020,1020
135,EquaGel 1,191.15,1020,1020
136,EquaGel 1,191.15,1020,1020
137,EquaGel 1,191.15,1020,1020
138,EquaGel 1,191.15,1020,1020
139,EquaGel 1,191.15,1020,1020
140,EquaGel 1,191.15,1020,1020
141,EquaGel 1,191.15,1020,1020
142,EquaGel 1,191.15,1020,1020
143,EquaGel 1,191.15,1020,1020
144,EquaGel 1,191.15,1020,1020
149,EquaGel 1,229.25,1020,1020
150,EquaGel 1,229.25,1020,1020
151,EquaGel 1,229.25,1020,1020
152,EquaGel 1,229.25,1020,1020
153,EquaGel 1,229.25,1020,1020
154,EquaGel 1,229.25,1020,1020
155,EquaGel 1,229.25,1020,1020
156,EquaGel 1,229.25,1020,1020
159,EquaGel 1,317.46,1020,1020
160,EquaGel 1,317.46,1020,1020
161,EquaGel 1,317.46,1020,1020
162,EquaGel 1,317.46,1020,1020
163,EquaGel 1,317.46,1020,1020
164,EquaGel 1,317.46,1020,1020
165,EquaGel 1,317.46,1020,1020
166,EquaGel 1,317.46,1020,1020
168,EquaGel 1,397.46,1020,1020
172,EquaGel 1,44.06,1020,1020
173,EquaGel 1,44.06,1020,1020
174,EquaGel 1,44.06,1020,1020
175,EquaGel 1,44.06,1020,1020
177,EquaGel 1,44.06,1020,1020
178,EquaGel 1,44.06,1020,1020
7917,EquaGel 1,44.06,1020,1020
179,EquaGel 1,44.06,1020,1020
181,EquaGel 1,44.06,1020,1020
182,EquaGel 1,44.06,1020,1020
183,EquaGel 1,44.06,1020,1020
184,EquaGel 1,44.06,1020,1020
185,EquaGel 1,44.06,1020,1020
186,EquaGel 1,44.06,1020,1020
187,EquaGel 1,44.06,1020,1020
188,EquaGel 1,44.06,1020,1020
189,EquaGel 1,44.06,1020,1020
1068,Discount 05%,470.25,1020,1020
4569,Discount 25%,70.88,1020,1020
4570,Discount 25%,70.88,1020,1020
6333,Discount 20%,7.2,1020,1020
582,Discount 15%,3823.3,1020,1020
7751,Discount 25%,66.75,1020,1020
4120,Discount 25%,224.25,1020,1020
6264,ZDealer,416.5,1020,1020
6266,Discount 25%,63.75,1020,1020
6267,Discount 25%,111.75,1020,1020
6507,Discount 20%,199.92,1020,1020
1333,Discount 20%,732,1020,1020
19754,zAidacare,18.78,1020,1020
15335,zAidacare,20.87,1020,1020
15338,zAidacare,9.39,1020,1020
15046,zAidacare,1.84,1020,1020
15348,zAidacare,14.51,1020,1020
16738,zAidacare,40.19,1020,1020
17041,zAidacare,0.63,1020,1020
14134,zAidacare,1305.99,1020,1020
14138,zAidacare,1342.75,1020,1020
14201,zAidacare,1188.04,1020,1020
14218,zAidacare,1284.32,1020,1020
14237,zAidacare,1321.08,1020,1020
