Item Internal Id,,Price level,Unit Price,Internal Id,external Id
4016,,Discount 22.5%,14.34,19894,19894
4035,,Discount 25%,24.38,19894,19894
7179,,Discount 25%,24.75,19894,19894
7641,,Discount 25%,27,19894,19894
7142,,Discount 25%,269.25,19894,19894
1244,,Discount 25%,291.75,19894,19894
577,,Discount 15%,3130.55,19894,19894
19349,,Discount 15%,7639.8,19894,19894
4111,,Discount 25%,42.68,19894,19894
4112,,Discount 22.5%,55.8,19894,19894
4118,,Discount 25%,217.5,19894,19894
4120,,Discount 20%,239.2,19894,19894
4121,,Discount 15%,137.63,19894,19894
4122,,Discount 25%,42.75,19894,19894
4131,,Discount 25%,14.93,19894,19894
4133,,Discount 20%,55.6,19894,19894
6264,,ZDealer,416.5,19894,19894
6266,,Discount 15%,72.25,19894,19894
276,,Discount 15%,254.15,19894,19894
4683,,Discount 20%,476,19894,19894
4145,,Discount 10%,3599.1,19894,19894
5881,,Discount 20%,16.8,19894,19894
5882,,Discount 20%,16.8,19894,19894
5884,,Discount 20%,22.4,19894,19894
5935,,Discount 15%,11.48,19894,19894
5971,,Discount 22.5%,110.83,19894,19894
4165,,Discount 22.5%,384.4,19894,19894
4167,,Discount 20%,454.4,19894,19894
7739,,Discount 25%,446.25,19894,19894
4229,,Discount 22.5%,2669.88,19894,19894
4231,,Discount 22.5%,3379,19894,19894
6010,,Discount 25%,1308.75,19894,19894
9029,,Discount 20%,1588,19894,19894
6021,,Discount 10%,3918.6,19894,19894
4250,,Discount 20%,21.2,19894,19894
4251,,Discount 20%,24,19894,19894
4252,,Discount 20%,26.88,19894,19894
4253,,Discount 20%,30,19894,19894
4254,,Discount 20%,31.04,19894,19894
4255,,Discount 20%,34.8,19894,19894
4256,,Discount 20%,37.6,19894,19894
4257,,Discount 20%,41.04,19894,19894
4258,,Discount 20%,45.36,19894,19894
4259,,Discount 25%,3.53,19894,19894
4260,,Discount 20%,5.28,19894,19894
4261,,Discount 20%,7.6,19894,19894
4262,,Discount 20%,10.32,19894,19894
4263,,Discount 20%,12.72,19894,19894
4264,,Discount 20%,15.12,19894,19894
4265,,Discount 15%,20.83,19894,19894
4266,,Discount 15%,25.67,19894,19894
37046,,Discount 15%,30.43,19894,19894
6494,,Discount 20%,76,19894,19894
1318,,Discount 25%,343.5,19894,19894
1319,,Discount 25%,483.75,19894,19894
1320,,Discount 25%,746.25,19894,19894
1333,,Discount 20%,732,19894,19894
1419,,Discount 22.5%,383.63,19894,19894
1425,,Discount 22.5%,437.88,19894,19894
1426,,Discount 25%,543.75,19894,19894
1427,,Discount 25%,821.25,19894,19894
1430,,Discount 20%,636,19894,19894
3038,,Discount 20%,48,19894,19894
3039,,Discount 20%,60.36,19894,19894
3040,,Discount 20%,78.54,19894,19894
3041,,Discount 20%,64.73,19894,19894
3042,,Discount 20%,70.54,19894,19894
3043,,Discount 20%,88,19894,19894
4297,,Discount 20%,1116,19894,19894
4298,,Discount 25%,1196.25,19894,19894
4301,,Discount 25%,862.5,19894,19894
4305,,Discount 22.5%,964.88,19894,19894
4308,,Discount 20%,1224,19894,19894
11748,,Discount 22.5%,1316.73,19893,19893
3733,,Discount 25%,221.25,19893,19893
3734,,Discount 25%,1271.25,19893,19893
3784,,Discount 15%,46.33,19893,19893
3785,,Discount 15%,46.33,19893,19893
3787,,Discount 22.5%,13.56,19893,19893
3788,,Discount 22.5%,13.56,19893,19893
3789,,Discount 22.5%,13.56,19893,19893
3790,,Discount 22.5%,13.56,19893,19893
3791,,Discount 22.5%,13.56,19893,19893
3792,,Discount 22.5%,13.56,19893,19893
3793,,Discount 22.5%,13.56,19893,19893
3794,,Discount 22.5%,13.56,19893,19893
908,,Discount 20%,119.2,19893,19893
5542,,Discount 25%,62.25,19893,19893
5549,,Discount 10%,494.1,19893,19893
5653,,Discount 20%,30.4,19893,19893
133,,EquaGel 1,191.15,19893,19893
134,,EquaGel 1,191.15,19893,19893
135,,EquaGel 1,191.15,19893,19893
136,,EquaGel 1,191.15,19893,19893
137,,EquaGel 1,191.15,19893,19893
138,,EquaGel 1,191.15,19893,19893
139,,EquaGel 1,191.15,19893,19893
140,,EquaGel 1,191.15,19893,19893
141,,EquaGel 1,191.15,19893,19893
142,,EquaGel 1,191.15,19893,19893
143,,EquaGel 1,191.15,19893,19893
144,,EquaGel 1,191.15,19893,19893
149,,EquaGel 1,229.25,19893,19893
150,,EquaGel 1,229.25,19893,19893
151,,EquaGel 1,229.25,19893,19893
152,,EquaGel 1,229.25,19893,19893
153,,EquaGel 1,229.25,19893,19893
154,,EquaGel 1,229.25,19893,19893
155,,EquaGel 1,229.25,19893,19893
156,,EquaGel 1,229.25,19893,19893
